Time resolution is 1 ps
                 610A = 0, clk = 0, clr = 1, Q = 0
                 615A = 0, clk = 1, clr = 1, Q = 0
                 620A = 0, clk = 0, clr = 1, Q = 0
                 625A = 0, clk = 1, clr = 1, Q = 0
                 630A = 0, clk = 0, clr = 1, Q = 0
                 635A = 0, clk = 1, clr = 1, Q = 0
                 640A = 0, clk = 0, clr = 1, Q = 0
                 645A = 0, clk = 1, clr = 1, Q = 0
                 650A = 0, clk = 0, clr = 1, Q = 0
                 655A = 0, clk = 1, clr = 1, Q = 0
                 660A = 0, clk = 0, clr = 1, Q = 0
                 665A = 0, clk = 1, clr = 1, Q = 0
                 670A = 0, clk = 0, clr = 1, Q = 0
                 675A = 0, clk = 1, clr = 1, Q = 0
                 680A = 0, clk = 0, clr = 1, Q = 0
                 685A = 0, clk = 1, clr = 1, Q = 0
                 690A = 0, clk = 0, clr = 1, Q = 0
                 695A = 0, clk = 1, clr = 1, Q = 0
                 700A = 0, clk = 0, clr = 1, Q = 0
                 705A = 0, clk = 1, clr = 1, Q = 0
                 710A = 0, clk = 0, clr = 1, Q = 0
                 715A = 0, clk = 1, clr = 1, Q = 0
                 720A = 0, clk = 0, clr = 1, Q = 0
                 725A = 0, clk = 1, clr = 1, Q = 0
                 730A = 0, clk = 0, clr = 1, Q = 0
                 735A = 0, clk = 1, clr = 1, Q = 0
                 740A = 0, clk = 0, clr = 1, Q = 0
                 745A = 0, clk = 1, clr = 1, Q = 0
                 750A = 0, clk = 0, clr = 1, Q = 0
                 755A = 0, clk = 1, clr = 1, Q = 0
                 760A = 0, clk = 0, clr = 1, Q = 0
                 765A = 0, clk = 1, clr = 1, Q = 0
                 770A = 0, clk = 0, clr = 1, Q = 0
                 775A = 0, clk = 1, clr = 1, Q = 0
                 780A = 0, clk = 0, clr = 1, Q = 0
                 785A = 0, clk = 1, clr = 1, Q = 0
                 790A = 0, clk = 0, clr = 1, Q = 0
                 795A = 0, clk = 1, clr = 1, Q = 0
                 800A = 0, clk = 0, clr = 1, Q = 0
                 805A = 0, clk = 1, clr = 1, Q = 0
                 810A = 0, clk = 0, clr = 1, Q = 0
                 815A = 0, clk = 1, clr = 1, Q = 0
                 820A = 0, clk = 0, clr = 1, Q = 0
                 825A = 0, clk = 1, clr = 1, Q = 0
                 830A = 0, clk = 0, clr = 1, Q = 0
                 835A = 0, clk = 1, clr = 1, Q = 0
                 840A = 0, clk = 0, clr = 1, Q = 0
                 845A = 0, clk = 1, clr = 1, Q = 0
                 850A = 0, clk = 0, clr = 1, Q = 0
                 855A = 0, clk = 1, clr = 1, Q = 0
                 860A = 0, clk = 0, clr = 1, Q = 0
                 865A = 0, clk = 1, clr = 1, Q = 0
                 870A = 0, clk = 0, clr = 1, Q = 0
                 875A = 0, clk = 1, clr = 1, Q = 0
                 880A = 0, clk = 0, clr = 1, Q = 0
                 885A = 0, clk = 1, clr = 1, Q = 0
                 890A = 0, clk = 0, clr = 1, Q = 0
                 895A = 0, clk = 1, clr = 1, Q = 0
                 900A = 0, clk = 0, clr = 1, Q = 0
                 905A = 0, clk = 1, clr = 1, Q = 0
                 910A = 0, clk = 0, clr = 1, Q = 0
                 915A = 0, clk = 1, clr = 1, Q = 0
                 920A = 0, clk = 0, clr = 1, Q = 0
                 925A = 0, clk = 1, clr = 1, Q = 0
                 930A = 0, clk = 0, clr = 1, Q = 0
                 935A = 0, clk = 1, clr = 1, Q = 0
